id,title,repo,suggested_files,context_summary,acceptance_hints,blocker_reason
T-P05-001,Bundlar sons push iOS parent,guardiao-familia-parent,guardiao-familia-parent/src/notifications;guardiao-familia-parent/src/devices;guardiao-familia-parent/assets/sounds;guardiao-familia-parent/app.config.js;guardiao-familia-parent/services/push;guardiao-familia-parent/ios,"**Objetivo:** Bundlar sons push iOS parent **Épico:** E-P05 Push notifications nativas · **Trilha:** produto · **OKR O1** — Confiabilidade em tempo real: localização, SOS, push e geofences para pais. **Sprint 3** · Repo `guardiao-familia-parent` · Baseline `todo` · **Release blocker** **Motivo blocker:** Upstream: apps precisam de assets de som no bundle antes dos testes E2E push. **Refinamento:** Feature E2E — alterações em API e/ou apps conforme repo.",Validar em simulador/dispositivo iOS; permissoes no Info.plist.;Critério bloqueante release — exigir review + testes antes merge.,Upstream: apps precisam de assets de som no bundle antes dos testes E2E push.
T-P05-002,Bundlar sons push iOS child,guardiao-familia-parent,guardiao-familia-parent/src/notifications;guardiao-familia-parent/src/devices;guardiao-familia-parent/assets/sounds;guardiao-familia-parent/app.config.js;guardiao-familia-parent/services/push;guardiao-familia-parent/ios,"**Objetivo:** Bundlar sons push iOS child **Épico:** E-P05 Push notifications nativas · **Trilha:** produto · **OKR O1** — Confiabilidade em tempo real: localização, SOS, push e geofences para pais. **Sprint 3** · Repo `guardiao-familia-parent` · Baseline `todo` · **Release blocker** **Motivo blocker:** Upstream: apps precisam de assets de som no bundle antes dos testes E2E push. **Refinamento:** Feature E2E — alterações em API e/ou apps conforme repo.",Validar em simulador/dispositivo iOS; permissoes no Info.plist.;Critério bloqueante release — exigir review + testes antes merge.,Upstream: apps precisam de assets de som no bundle antes dos testes E2E push.
T-P05-003,Bundlar sons push Android parent,guardiao-familia-parent,guardiao-familia-parent/src/notifications;guardiao-familia-parent/src/devices;guardiao-familia-parent/assets/sounds;guardiao-familia-parent/app.config.js;guardiao-familia-parent/services/push;guardiao-familia-parent/android,"**Objetivo:** Bundlar sons push Android parent **Épico:** E-P05 Push notifications nativas · **Trilha:** produto · **OKR O1** — Confiabilidade em tempo real: localização, SOS, push e geofences para pais. **Sprint 3** · Repo `guardiao-familia-parent` · Baseline `todo` · **Release blocker** **Motivo blocker:** Upstream: apps precisam de assets de som no bundle antes dos testes E2E push. **Refinamento:** Feature E2E — alterações em API e/ou apps conforme repo.",Validar em emulador/dispositivo Android; data safety se stores.;Critério bloqueante release — exigir review + testes antes merge.,Upstream: apps precisam de assets de som no bundle antes dos testes E2E push.
T-P05-004,Bundlar sons push Android child,guardiao-familia-parent,guardiao-familia-parent/src/notifications;guardiao-familia-parent/src/devices;guardiao-familia-parent/assets/sounds;guardiao-familia-parent/app.config.js;guardiao-familia-parent/services/push;guardiao-familia-parent/android,"**Objetivo:** Bundlar sons push Android child **Épico:** E-P05 Push notifications nativas · **Trilha:** produto · **OKR O1** — Confiabilidade em tempo real: localização, SOS, push e geofences para pais. **Sprint 3** · Repo `guardiao-familia-parent` · Baseline `todo` · **Release blocker** **Motivo blocker:** Upstream: apps precisam de assets de som no bundle antes dos testes E2E push. **Refinamento:** Feature E2E — alterações em API e/ou apps conforme repo.",Validar em emulador/dispositivo Android; data safety se stores.;Critério bloqueante release — exigir review + testes antes merge.,Upstream: apps precisam de assets de som no bundle antes dos testes E2E push.
T-P05-009,Testes push SOS som emergência,guardiao-familia-parent,guardiao-familia-parent/src/notifications;guardiao-familia-parent/src/devices;guardiao-familia-parent/assets/sounds;guardiao-familia-parent/app.config.js;guardiao-familia-parent/test;guardiao-familia-parent/tests;guardiao-familia-parent/__tests__;guardiao-familia-parent/e2e,"**Objetivo:** Testes push SOS som emergência **Épico:** E-P05 Push notifications nativas · **Trilha:** produto · **OKR O1** — Confiabilidade em tempo real: localização, SOS, push e geofences para pais. **Sprint 3** · Repo `guardiao-familia-parent` · Baseline `todo` · **Release blocker** **Motivo blocker:** KR O1: notificação SOS ao responsável em menos de 30 segundos. **Refinamento:** Feature E2E — alterações em API e/ou apps conforme repo.",Cobertura reproduzível em CI; documentar comando de execução.;Critério bloqueante release — exigir review + testes antes merge.,KR O1: notificação SOS ao responsável em menos de 30 segundos.
T-I01-001,Terraform VPC subnets multi-AZ,guardiao-familia-api,guardiao-familia-api/infra/terraform;guardiao-familia-api/terraform/ecs;guardiao-familia-api/docker;guardiao-familia-api/docs/runbooks;guardiao-familia-api/terraform/modules,"**Objetivo:** Terraform VPC subnets multi-AZ **Épico:** E-I01 AWS ECS Fargate foundation · **Trilha:** infraestrutura · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 1** · Repo `guardiao-familia-api` · Baseline `partial` · **Release blocker** **Motivo blocker:** Componente crítico da fundação AWS — sem ele não há ambiente prod confiável. **Refinamento:** implementação parcial existente — completar gaps e testes.",Critério bloqueante release — exigir review + testes antes merge.,Componente crítico da fundação AWS — sem ele não há ambiente prod confiável.
T-I01-002,ECS cluster Fargate,guardiao-familia-api,guardiao-familia-api/infra/terraform;guardiao-familia-api/terraform/ecs;guardiao-familia-api/docker;guardiao-familia-api/docs/runbooks;guardiao-familia-api/terraform/modules,"**Objetivo:** ECS cluster Fargate **Épico:** E-I01 AWS ECS Fargate foundation · **Trilha:** infraestrutura · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 1** · Repo `guardiao-familia-api` · Baseline `partial` · **Release blocker** **Motivo blocker:** Componente crítico da fundação AWS — sem ele não há ambiente prod confiável. **Refinamento:** implementação parcial existente — completar gaps e testes.",Critério bloqueante release — exigir review + testes antes merge.,Componente crítico da fundação AWS — sem ele não há ambiente prod confiável.
T-I01-003,Task definition API container,guardiao-familia-api,guardiao-familia-api/infra/terraform;guardiao-familia-api/terraform/ecs;guardiao-familia-api/docker;guardiao-familia-api/docs/runbooks,"**Objetivo:** Task definition API container **Épico:** E-I01 AWS ECS Fargate foundation · **Trilha:** infraestrutura · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 1** · Repo `guardiao-familia-api` · Baseline `partial` · **Release blocker** **Motivo blocker:** Fundação AWS (VPC, ECS, ALB, DNS/TLS) bloqueia deploy produção da API e validação E2E real. **Refinamento:** implementação parcial existente — completar gaps e testes.",Critério bloqueante release — exigir review + testes antes merge.,"Fundação AWS (VPC, ECS, ALB, DNS/TLS) bloqueia deploy produção da API e validação E2E real."
T-I01-004,ALB + target group health checks,guardiao-familia-api,guardiao-familia-api/infra/terraform;guardiao-familia-api/terraform/ecs;guardiao-familia-api/docker;guardiao-familia-api/docs/runbooks;guardiao-familia-api/terraform/modules,"**Objetivo:** ALB + target group health checks **Épico:** E-I01 AWS ECS Fargate foundation · **Trilha:** infraestrutura · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 1** · Repo `guardiao-familia-api` · Baseline `partial` · **Release blocker** **Motivo blocker:** Componente crítico da fundação AWS — sem ele não há ambiente prod confiável. **Refinamento:** implementação parcial existente — completar gaps e testes.",Critério bloqueante release — exigir review + testes antes merge.,Componente crítico da fundação AWS — sem ele não há ambiente prod confiável.
T-I04-001,RDS PostgreSQL multi-AZ staging,guardiao-familia-api,guardiao-familia-api/src/migrations;guardiao-familia-api/src/database;guardiao-familia-api/prisma;guardiao-familia-api/docker-compose.yml,"**Objetivo:** RDS PostgreSQL multi-AZ staging **Épico:** E-I04 PostgreSQL, Redis e migrations · **Trilha:** infraestrutura · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 2** · Repo `guardiao-familia-api` · Baseline `partial` · **Release blocker** **Motivo blocker:** Capacidade de dados em prod — bloqueia cutover e testes de carga reais. **Refinamento:** implementação parcial existente — completar gaps e testes.",Critério bloqueante release — exigir review + testes antes merge.,Capacidade de dados em prod — bloqueia cutover e testes de carga reais.
