task_id,title,effort_sp,sprint
T-P05-001,Bundlar sons push iOS parent,3,3
T-P05-002,Bundlar sons push iOS child,3,3
T-P05-003,Bundlar sons push Android parent,3,3
T-P05-004,Bundlar sons push Android child,3,3
T-P05-009,Testes push SOS som emergência,3,3
T-I01-001,Terraform VPC subnets multi-AZ,5,1
T-I01-002,ECS cluster Fargate,5,1
T-I01-003,Task definition API container,5,1
T-I01-004,ALB + target group health checks,5,1
T-I04-001,RDS PostgreSQL multi-AZ staging,5,2
T-I04-003,Redis ElastiCache session,5,2
T-P04-005,Push SOS parent em <30s iOS,5,5
T-P04-006,Push SOS parent em <30s Android,5,5
T-P03-005,Notificação entrada/saída cerca E2E iOS,5,6
T-P03-006,Notificação entrada/saída cerca E2E Android,5,6
T-S01-005,Review notes location background,3,11
T-S01-006,Submit production parent,3,11
T-S02-005,Submit production child,3,11
T-S06-008,Release: version sync matrix 4 apps,2,13
T-S06-009,Release: rollback store version plan,2,13
T-S03-005,Production rollout parent,3,12
T-S04-005,Production rollout child,3,12
T-S05-001,Checklist release blocker consolidado,5,13
T-I01-005,ECR repository e lifecycle,5,1
T-I01-006,Service autoscaling CPU/mem,5,1
T-I01-007,Secrets Manager env injection,5,1
T-I01-008,Route53 DNS api.guardiaofamilia,5,1
T-I01-009,ACM cert TLS,5,1
T-I01-010,Documentar runbook deploy ECS,5,1
T-I06-002,Prod cutover checklist,5,12
T-P11-009,DPO sign-off release,5,8
T-I04-002,RDS PostgreSQL multi-AZ prod,5,2
T-I04-004,Backup automático PITR,5,2
T-I04-005,Migration strategy zero-downtime,5,2
T-I04-006,Índices performance geofence/location,5,2
T-I05-005,Pen test checklist pré-release,5,4
T-P02-007,Histórico trajetos parent UI paginado,3,4
T-P02-010,Testes integração ping batch location,3,4
T-P02-012,Fallback quando GPS desligado child,3,4
T-P05-005,Configurar APNs production certificates,3,3
T-P05-006,Configurar FCM data messages SOS,3,3
T-P04-003,Parent histórico SOS error handling,5,5
T-P04-004,Child trigger SOS UI discreto,5,5
T-P04-007,Escalation rules SOS sem ack,5,5
T-P04-008,Backoffice visualizar áudio SOS,5,5
T-P03-002,Melhorar delivery alerta geofence push,5,6
T-P03-003,Parent UI criar/editar cerca circular,5,6
T-S01-001,App Store Connect metadata parent PT,3,11
T-S01-003,Privacy nutrition labels parent,3,11
T-S01-004,TestFlight external beta 50 users,3,11
T-S02-001,Metadata child PT minors,3,11
T-S02-003,Parental gate App Store,3,11
T-S02-004,TestFlight child beta,3,11
T-I02-001,Pipeline API build test deploy,3,2
T-I02-006,EAS build child production,3,2
T-I02-008,Dependabot todos repos,3,2
T-I02-009,Template PR org-wide,3,2
T-P02-011,Documentar SLA ping P95,3,4
T-P14-031,API compliance: data export job async worker,2,8
T-P14-032,API compliance: account deletion cascade order,2,8
T-P05-008,Testes push geofence som customizado,3,3
T-P05-010,Documentar matriz som x evento,3,3
T-P12-007,Alertas erro API no dashboard,2,11
T-I06-001,Staging mirror prod config,5,12
T-I06-003,Feature flags system-config,5,12
T-I03-001,CloudWatch logs structured API,3,3
T-I03-003,Dashboard Grafana/BO integrado,3,3
T-P11-001,Fluxos exportação dados titular,5,8
T-P11-002,Fluxos exclusão conta menor,5,8
T-P11-003,Consentimento parental registrado,5,8
T-P11-007,Parent UI privacy settings,5,8
T-P11-008,Child UI privacy mínima,5,8
T-P11-010,Audit log acesso dados sensíveis,5,8
T-I05-004,S3 bucket policies SOS audio,5,4
T-P04-009,Testes E2E SOS com mock push,5,5
T-P04-010,Runbook operacional incidente SOS,5,5
T-P03-004,Parent UI criar/editar cerca poligonal,5,6
T-P03-007,Testes carga geofence 100 cercas/família,5,6
T-S01-002,Screenshots 6.7 e 5.5 parent,3,11
T-S02-002,Screenshots child,3,11
T-S06-001,Apple: export compliance encryption doc,2,11
T-S06-002,Apple: age rating 4+ questionnaire,2,11
T-S06-003,Apple child: COPPA parental consent copy,2,11
T-S06-004,Google: target API level 34 parent,2,12
T-S06-005,Google: target API level 34 child,2,12
T-S06-006,Google: in-app permissions declaration,2,12
T-S06-007,Google: designed for families program,2,12
T-S03-001,Play Console listing parent,3,12
T-S03-002,Data safety form parent,3,12
T-S03-003,Content rating questionnaire,3,12
T-S03-004,Internal testing track parent,3,12
T-S04-001,Play listing child designed for families,3,12
T-S04-002,Data safety child location,3,12
T-S04-004,Internal testing child,3,12
T-I02-010,Smoke test pós-deploy API,3,2
T-S05-002,Beta fechado 100 famílias,5,13
T-S05-003,Beta aberto child polish gate,5,13
T-S05-004,Comunicado lançamento site+campanha,5,13
T-S05-005,Monitoramento 72h pós-release,5,13
T-S05-006,Retrospectiva e backlog v2,5,13
T-P12-006,Runbook suporte release,2,11
T-P12-008,Moderação mínima tickets SOS,2,11
T-I06-004,Rollback procedure documentado,5,12
T-I06-005,Load test staging 1k famílias,5,12
T-I03-002,Metrics custom SOS latency,3,3
T-I03-004,Alertas PagerDuty/on-call,3,3
T-I03-005,Tracing OpenTelemetry API,3,3
T-I03-006,SLO error rate API 99.5%,3,3
T-P11-004,Atualizar RIPD com SOS áudio,5,8
T-P11-005,Atualizar ROPA localização contínua,5,8
T-P11-006,Incident response drill Q3,5,8
T-I05-001,WAF ALB rules OWASP,5,4
T-I05-002,Rotate secrets quarterly,5,4
T-I05-003,IAM least privilege ECS tasks,5,4
T-I07-001,Infra: NAT Gateway HA cost review,3,1
T-I07-002,Infra: Fargate Spot mix staging,3,1
