id,title,epic_id,epic_name,track,repo,okr,sprint,reach,impact,confidence,effort_sp,cod,rice,wsjf,priority_score,priority_rank,status_baseline,release_blocker,agent_role,agent_role_secondary,terraform_module,depends_on,notes
T-I08-003,Terraform: ECR repository API + lifecycle policy,E-I01,AWS ECS Fargate foundation,infraestrutura,guardiao-familia-api,O2,1,10,2,0.9,3,11,6.0,3.67,66.6,1,todo,True,cloud-infra,,modules/ecr (novo),,GHCR hoje; ECR exigido pelo deploy ECS nativo
T-I08-006,Terraform: Secrets Manager → ECS task secrets/env,E-I01,AWS ECS Fargate foundation,infraestrutura,guardiao-familia-api,O2,2,10,2,0.85,3,10,5.67,3.33,66.27,2,todo,True,cloud-infra,,modules/ecs + kms_secrets,T-I08-005,Migrar injeção do user-data EC2
T-I08-009,Terraform: Route53 records + ACM validation as code,E-I01,AWS ECS Fargate foundation,infraestrutura,guardiao-familia-api,O2,4,9,2,0.85,3,9,5.1,3.0,65.84,3,todo,True,cloud-infra,,modules/route53 (novo),T-I08-004,Substitui T-I01-008 manual DNS
T-I08-019,Rollback procedure ECS documentado,E-I06,Ambientes staging e produção,infraestrutura,guardiao-familia-api,O2,7,9,2,0.85,3,9,5.1,3.0,65.84,4,todo,True,devops-cicd,,,T-I08-015,Substitui T-I06-004
T-I08-010,Documentar runbook operação ECS/Fargate,E-I01,AWS ECS Fargate foundation,infraestrutura,guardiao-familia-api,O2,5,8,2,0.9,3,8,4.8,2.67,65.52,5,todo,True,cloud-infra,,docs/infra,T-I08-002,Substitui T-I01-010 (runbook EC2/SSM)
T-I08-001,Terraform: ECS cluster Fargate + capacity providers,E-I01,AWS ECS Fargate foundation,infraestrutura,guardiao-familia-api,O2,1,10,3,0.8,5,13,4.8,2.6,65.48,6,todo,True,cloud-infra,,modules/ecs (novo),,Base da migração; substitui stack EC2+Docker
T-I08-012,GitHub Actions OIDC: ECR push + ecs:UpdateService (prod gate),E-I02,CI/CD multi-repo,infraestrutura,guardiao-familia-api,O2,4,10,3,0.85,5,12,5.1,2.4,65.48,7,todo,True,devops-cicd,,,T-I08-011,Estende OIDC existente; sem keys estáticas prod
T-I08-004,Terraform: ALB target groups → ECS (desacoplar EC2),E-I01,AWS ECS Fargate foundation,infraestrutura,guardiao-familia-api,O2,3,10,3,0.8,5,12,4.8,2.4,65.36,8,todo,True,cloud-infra,,modules/alb + modules/ecs,T-I08-002,Reutiliza ALB existente; retarget attachments
T-I08-018,Cutover checklist EC2 → Fargate produção,E-I06,Ambientes staging e produção,infraestrutura,guardiao-familia-api,O2,7,10,3,0.7,5,13,4.2,2.6,65.24,9,todo,True,cloud-infra,devops-cicd,,"T-I08-012,T-I08-013",Substitui T-I06-002; gate humano antes apply prod
T-I08-005,Terraform: IAM execution/task roles least privilege ECS,E-I05,"Segurança, secrets e WAF",infraestrutura,guardiao-familia-api,O2,2,10,2,0.8,5,11,3.2,2.2,64.6,10,todo,True,cloud-infra,,modules/ecs + iam,T-I08-002,Substitui T-I05-003 (ECS tasks)
T-I08-007,Terraform: Application Auto Scaling ECS CPU/mem,E-I01,AWS ECS Fargate foundation,infraestrutura,guardiao-familia-api,O2,3,9,2,0.8,5,10,2.88,2.0,64.35,11,todo,True,cloud-infra,,modules/ecs,T-I08-002,Substitui T-I01-006 e auto_scaler EC2-centric
T-I08-013,Smoke test pós-deploy API Fargate (workflow),E-I02,CI/CD multi-repo,infraestrutura,guardiao-familia-api,O2,4,9,2,0.8,5,10,2.88,2.0,64.35,12,todo,True,devops-cicd,qa-gate,,T-I08-011,Substitui T-I02-010
T-I04-005,Migration strategy zero-downtime (RDS),E-I04,"PostgreSQL, Redis e migrations",infraestrutura,guardiao-familia-api,O2,6,9,2,0.7,5,10,2.52,2.0,64.21,13,todo,True,database,cloud-infra,,,Dados compartilhados EC2/Fargate durante cutover
T-I08-014,Observabilidade ECS: log drivers + Container Insights,E-I03,Observabilidade e alertas,infraestrutura,guardiao-familia-api,O2,5,9,2,0.75,5,9,2.7,1.8,64.16,14,todo,True,devops-cicd,,,T-I08-002,Complementa T-I03-001 para tasks Fargate
T-I08-002,Terraform: task definition + service API Fargate,E-I01,AWS ECS Fargate foundation,infraestrutura,guardiao-familia-api,O2,2,10,3,0.75,8,13,2.81,1.62,64.1,15,todo,True,cloud-infra,,modules/ecs,T-I08-001,Substitui T-I01-002/T-I01-003
T-I08-011,GitHub Actions: build API → push ECR → deploy ECS staging,E-I02,CI/CD multi-repo,infraestrutura,guardiao-familia-api,O2,3,10,3,0.75,8,13,2.81,1.62,64.1,16,todo,True,devops-cicd,cloud-infra,,"T-I08-003,T-I08-008",Substitui pipeline SSM/EC2; T-I02-001
T-I08-017,Terraform: WAF v2 ALB OWASP rules,E-I05,"Segurança, secrets e WAF",infraestrutura,guardiao-familia-api,O2,5,9,2,0.7,5,9,2.52,1.8,64.09,17,todo,True,cloud-infra,,modules/waf (novo),T-I08-004,Roadmap onda 3 README; T-I05-001
