id,title,agent_role,agent_role_secondary,track,repo,epic_id,sprint,priority_rank,effort_sp,rice,wsjf,status_baseline,release_blocker,match_reason,depends_on
T-P05-001,Bundlar sons push iOS parent,frontend-mobile,,produto,guardiao-familia-parent,E-P05,3,1,3,7.0,3.67,todo,True,"track=produto,repo=guardiao-familia-parent,epic=E-P05",
T-P05-002,Bundlar sons push iOS child,frontend-mobile,,produto,guardiao-familia-parent,E-P05,3,2,3,7.0,3.67,todo,True,"track=produto,repo=guardiao-familia-parent,epic=E-P05",
T-P05-003,Bundlar sons push Android parent,frontend-mobile,,produto,guardiao-familia-parent,E-P05,3,3,3,7.0,3.67,todo,True,"track=produto,repo=guardiao-familia-parent,epic=E-P05",
T-P05-004,Bundlar sons push Android child,frontend-mobile,,produto,guardiao-familia-parent,E-P05,3,4,3,7.0,3.67,todo,True,"track=produto,repo=guardiao-familia-parent,epic=E-P05",
T-P05-009,Testes push SOS som emergência,frontend-mobile,,produto,guardiao-familia-parent,E-P05,3,5,3,7.0,3.67,todo,True,"track=produto,repo=guardiao-familia-parent,epic=E-P05",
T-I01-001,Terraform VPC subnets multi-AZ,cloud-infra,,infraestrutura,guardiao-familia-api,E-I01,1,6,5,3.6,2.4,partial,True,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I01",
T-I01-002,ECS cluster Fargate,cloud-infra,,infraestrutura,guardiao-familia-api,E-I01,1,7,5,3.6,2.4,partial,True,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I01",T-I01-001
T-I01-003,Task definition API container,cloud-infra,,infraestrutura,guardiao-familia-api,E-I01,1,8,5,3.6,2.4,partial,True,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I01",
T-I01-004,ALB + target group health checks,cloud-infra,,infraestrutura,guardiao-familia-api,E-I01,1,9,5,3.6,2.4,partial,True,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I01",
T-I04-001,RDS PostgreSQL multi-AZ staging,database,cloud-infra,infraestrutura,guardiao-familia-api,E-I04,2,10,5,3.24,2.0,partial,True,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I04",
