id,title,epic_id,epic_name,track,repo,okr,sprint,reach,impact,confidence,effort_sp,cod,pert_o,pert_m,pert_p,status_baseline,commit_evidence,labels,rice,wsjf,pert_expected,priority_rank,release_blocker
T-P05-001,Bundlar sons push iOS parent,E-P05,Push notifications nativas,produto,guardiao-familia-parent,O1,3,10,3,0.7,3,11,0.5,1.5,3,todo,,,7.0,3.67,1.58,1,True
T-P05-002,Bundlar sons push iOS child,E-P05,Push notifications nativas,produto,guardiao-familia-parent,O1,3,10,3,0.7,3,11,0.5,1.5,3,todo,,,7.0,3.67,1.58,2,True
T-P05-003,Bundlar sons push Android parent,E-P05,Push notifications nativas,produto,guardiao-familia-parent,O1,3,10,3,0.7,3,11,0.5,1.5,3,todo,,,7.0,3.67,1.58,3,True
T-P05-004,Bundlar sons push Android child,E-P05,Push notifications nativas,produto,guardiao-familia-parent,O1,3,10,3,0.7,3,11,0.5,1.5,3,todo,,,7.0,3.67,1.58,4,True
T-P05-009,Testes push SOS som emergência,E-P05,Push notifications nativas,produto,guardiao-familia-parent,O1,3,10,3,0.7,3,11,0.5,1.5,3,todo,,,7.0,3.67,1.58,5,True
T-I01-001,Terraform VPC subnets multi-AZ,E-I01,AWS ECS Fargate foundation,infraestrutura,guardiao-familia-api,O2,1,10,3,0.6,5,12,2,4,8,partial,,,3.6,2.4,4.33,6,True
T-I01-002,ECS cluster Fargate,E-I01,AWS ECS Fargate foundation,infraestrutura,guardiao-familia-api,O2,1,10,3,0.6,5,12,2,4,8,partial,,,3.6,2.4,4.33,7,True
T-I01-003,Task definition API container,E-I01,AWS ECS Fargate foundation,infraestrutura,guardiao-familia-api,O2,1,10,3,0.6,5,12,2,4,8,partial,,,3.6,2.4,4.33,8,True
T-I01-004,ALB + target group health checks,E-I01,AWS ECS Fargate foundation,infraestrutura,guardiao-familia-api,O2,1,10,3,0.6,5,12,2,4,8,partial,,,3.6,2.4,4.33,9,True
T-I04-001,RDS PostgreSQL multi-AZ staging,E-I04,"PostgreSQL, Redis e migrations",infraestrutura,guardiao-familia-api,O2,2,9,3,0.6,5,10,2,4,6,partial,,,3.24,2.0,4.0,10,True
T-I04-003,Redis ElastiCache session,E-I04,"PostgreSQL, Redis e migrations",infraestrutura,guardiao-familia-api,O2,2,9,3,0.6,5,10,2,4,6,partial,,,3.24,2.0,4.0,11,True
T-P04-005,Push SOS parent em <30s iOS,E-P04,SOS e emergência,produto,guardiao-familia-api,O1,5,10,3,0.75,5,12,1,2.5,5,todo,,,4.5,2.4,2.67,12,True
T-P04-006,Push SOS parent em <30s Android,E-P04,SOS e emergência,produto,guardiao-familia-api,O1,5,10,3,0.75,5,12,1,2.5,5,todo,,,4.5,2.4,2.67,13,True
T-P03-005,Notificação entrada/saída cerca E2E iOS,E-P03,Geofences e alertas,produto,guardiao-familia-api,O1,6,9,3,0.8,5,10,1,2,4,todo,,,4.32,2.0,2.17,14,True
T-P03-006,Notificação entrada/saída cerca E2E Android,E-P03,Geofences e alertas,produto,guardiao-familia-api,O1,6,9,3,0.8,5,10,1,2,4,todo,,,4.32,2.0,2.17,15,True
T-S01-005,Review notes location background,E-S01,Apple App Store parent,stores,guardiao-familia-parent,O2,11,10,3,0.7,3,11,0.5,1.5,3,todo,,,7.0,3.67,1.58,16,True
T-S01-006,Submit production parent,E-S01,Apple App Store parent,stores,guardiao-familia-parent,O2,11,10,3,0.7,3,11,0.5,1.5,3,todo,,,7.0,3.67,1.58,17,True
T-S02-005,Submit production child,E-S02,Apple App Store child,stores,guardiao-familia-child,O2,11,10,3,0.7,3,11,0.5,1.5,3,todo,True,,7.0,3.67,1.58,18,True
T-S06-008,Release: version sync matrix 4 apps,E-S05,Coordenação release e beta,stores,guardiao-familia-api,O2,13,8,2.5,0.65,2,8,0.25,0.75,2,todo,,,6.5,4.0,0.88,19,True
T-S06-009,Release: rollback store version plan,E-S05,Coordenação release e beta,stores,guardiao-familia-api,O2,13,8,2.5,0.65,2,8,0.25,0.75,2,todo,,,6.5,4.0,0.88,20,True
T-S03-005,Production rollout parent,E-S03,Google Play parent,stores,guardiao-familia-parent,O2,12,10,3,0.65,3,10,0.5,2,4,todo,,,6.5,3.33,2.08,21,True
T-S04-005,Production rollout child,E-S04,Google Play child,stores,guardiao-familia-child,O2,12,10,3,0.65,3,10,0.5,2,4,todo,,,6.5,3.33,2.08,22,True
T-S05-001,Checklist release blocker consolidado,E-S05,Coordenação release e beta,stores,guardiao-familia-api,O2,13,10,3,0.7,5,12,1,2,4,todo,,,4.2,2.4,2.17,23,True
T-I01-005,ECR repository e lifecycle,E-I01,AWS ECS Fargate foundation,infraestrutura,guardiao-familia-api,O2,1,10,3,0.6,5,12,2,4,8,todo,,,3.6,2.4,4.33,24,True
T-I01-006,Service autoscaling CPU/mem,E-I01,AWS ECS Fargate foundation,infraestrutura,guardiao-familia-api,O2,1,10,3,0.6,5,12,2,4,8,todo,,,3.6,2.4,4.33,25,True
T-I01-007,Secrets Manager env injection,E-I01,AWS ECS Fargate foundation,infraestrutura,guardiao-familia-api,O2,1,10,3,0.6,5,12,2,4,8,todo,,,3.6,2.4,4.33,26,True
T-I01-008,Route53 DNS api.guardiaofamilia,E-I01,AWS ECS Fargate foundation,infraestrutura,guardiao-familia-api,O2,1,10,3,0.6,5,12,2,4,8,todo,,,3.6,2.4,4.33,27,True
T-I01-009,ACM cert TLS,E-I01,AWS ECS Fargate foundation,infraestrutura,guardiao-familia-api,O2,1,10,3,0.6,5,12,2,4,8,todo,,,3.6,2.4,4.33,28,True
T-I01-010,Documentar runbook deploy ECS,E-I01,AWS ECS Fargate foundation,infraestrutura,guardiao-familia-api,O2,1,10,3,0.6,5,12,2,4,8,todo,,,3.6,2.4,4.33,29,True
T-I06-002,Prod cutover checklist,E-I06,Ambientes staging e produção,infraestrutura,guardiao-familia-api,O2,12,10,3,0.65,5,11,1,3,5,todo,,,3.9,2.2,3.0,30,True
T-P11-009,DPO sign-off release,E-P11,LGPD e compliance produto,produto,guardiao-familia-api,O2,8,8,3,0.75,5,10,1,2,4,todo,,,3.6,2.0,2.17,31,True
T-I04-002,RDS PostgreSQL multi-AZ prod,E-I04,"PostgreSQL, Redis e migrations",infraestrutura,guardiao-familia-api,O2,2,9,3,0.6,5,10,2,4,6,todo,,,3.24,2.0,4.0,32,True
T-I04-004,Backup automático PITR,E-I04,"PostgreSQL, Redis e migrations",infraestrutura,guardiao-familia-api,O2,2,9,3,0.6,5,10,2,4,6,todo,,,3.24,2.0,4.0,33,True
T-I04-005,Migration strategy zero-downtime,E-I04,"PostgreSQL, Redis e migrations",infraestrutura,guardiao-familia-api,O2,2,9,3,0.6,5,10,2,4,6,todo,,,3.24,2.0,4.0,34,True
T-I04-006,Índices performance geofence/location,E-I04,"PostgreSQL, Redis e migrations",infraestrutura,guardiao-familia-api,O2,2,9,3,0.6,5,10,2,4,6,todo,,,3.24,2.0,4.0,35,True
T-I05-005,Pen test checklist pré-release,E-I05,"Segurança, secrets e WAF",infraestrutura,guardiao-familia-api,O2,4,9,3,0.6,5,9,1,3,6,todo,,,3.24,1.8,3.17,36,True
T-P02-007,Histórico trajetos parent UI paginado,E-P02,Localização e rotas Mapbox,produto,guardiao-familia-api,O1,4,10,3,0.85,3,9,0.5,1.5,3,partial,7d4995d,,8.5,3.0,1.58,37,False
T-P02-010,Testes integração ping batch location,E-P02,Localização e rotas Mapbox,produto,guardiao-familia-api,O1,4,10,3,0.85,3,9,0.5,1.5,3,partial,,,8.5,3.0,1.58,38,False
T-P02-012,Fallback quando GPS desligado child,E-P02,Localização e rotas Mapbox,produto,guardiao-familia-api,O1,4,10,3,0.85,3,9,0.5,1.5,3,partial,,,8.5,3.0,1.58,39,False
T-P05-005,Configurar APNs production certificates,E-P05,Push notifications nativas,produto,guardiao-familia-parent,O1,3,10,3,0.7,3,11,0.5,1.5,3,partial,,,7.0,3.67,1.58,40,False
T-P05-006,Configurar FCM data messages SOS,E-P05,Push notifications nativas,produto,guardiao-familia-parent,O1,3,10,3,0.7,3,11,0.5,1.5,3,partial,,,7.0,3.67,1.58,41,False
T-P04-003,Parent histórico SOS error handling,E-P04,SOS e emergência,produto,guardiao-familia-api,O1,5,10,3,0.75,5,12,1,2.5,5,partial,f339651,,4.5,2.4,2.67,42,False
T-P04-004,Child trigger SOS UI discreto,E-P04,SOS e emergência,produto,guardiao-familia-api,O1,5,10,3,0.75,5,12,1,2.5,5,partial,,,4.5,2.4,2.67,43,False
T-P04-007,Escalation rules SOS sem ack,E-P04,SOS e emergência,produto,guardiao-familia-api,O1,5,10,3,0.75,5,12,1,2.5,5,partial,,,4.5,2.4,2.67,44,False
