task_id,title,reach,impact,confidence,effort_sp,rice_score
T-P05-001,Bundlar sons push iOS parent,10,3,0.7,3,7.0
T-P05-002,Bundlar sons push iOS child,10,3,0.7,3,7.0
T-P05-003,Bundlar sons push Android parent,10,3,0.7,3,7.0
T-P05-004,Bundlar sons push Android child,10,3,0.7,3,7.0
T-P05-009,Testes push SOS som emergência,10,3,0.7,3,7.0
T-I01-001,Terraform VPC subnets multi-AZ,10,3,0.6,5,3.6
T-I01-002,ECS cluster Fargate,10,3,0.6,5,3.6
T-I01-003,Task definition API container,10,3,0.6,5,3.6
T-I01-004,ALB + target group health checks,10,3,0.6,5,3.6
T-I04-001,RDS PostgreSQL multi-AZ staging,9,3,0.6,5,3.24
T-I04-003,Redis ElastiCache session,9,3,0.6,5,3.24
T-P04-005,Push SOS parent em <30s iOS,10,3,0.75,5,4.5
T-P04-006,Push SOS parent em <30s Android,10,3,0.75,5,4.5
T-P03-005,Notificação entrada/saída cerca E2E iOS,9,3,0.8,5,4.32
T-P03-006,Notificação entrada/saída cerca E2E Android,9,3,0.8,5,4.32
T-S01-005,Review notes location background,10,3,0.7,3,7.0
T-S01-006,Submit production parent,10,3,0.7,3,7.0
T-S02-005,Submit production child,10,3,0.7,3,7.0
T-S06-008,Release: version sync matrix 4 apps,8,2.5,0.65,2,6.5
T-S06-009,Release: rollback store version plan,8,2.5,0.65,2,6.5
T-S03-005,Production rollout parent,10,3,0.65,3,6.5
T-S04-005,Production rollout child,10,3,0.65,3,6.5
T-S05-001,Checklist release blocker consolidado,10,3,0.7,5,4.2
T-I01-005,ECR repository e lifecycle,10,3,0.6,5,3.6
T-I01-006,Service autoscaling CPU/mem,10,3,0.6,5,3.6
T-I01-007,Secrets Manager env injection,10,3,0.6,5,3.6
T-I01-008,Route53 DNS api.guardiaofamilia,10,3,0.6,5,3.6
T-I01-009,ACM cert TLS,10,3,0.6,5,3.6
T-I01-010,Documentar runbook deploy ECS,10,3,0.6,5,3.6
T-I06-002,Prod cutover checklist,10,3,0.65,5,3.9
T-P11-009,DPO sign-off release,8,3,0.75,5,3.6
T-I04-002,RDS PostgreSQL multi-AZ prod,9,3,0.6,5,3.24
T-I04-004,Backup automático PITR,9,3,0.6,5,3.24
T-I04-005,Migration strategy zero-downtime,9,3,0.6,5,3.24
T-I04-006,Índices performance geofence/location,9,3,0.6,5,3.24
T-I05-005,Pen test checklist pré-release,9,3,0.6,5,3.24
T-P02-007,Histórico trajetos parent UI paginado,10,3,0.85,3,8.5
