item_id,title,url,repo,number,onda,epic,okr,sprint,reach,impact,confidence,cod,sp,rice,wsjf,release_blocker
PVTI_lADOEDZbAM4BTJdjzgombYE,Implementar sistema de pedido de tempo extra,https://github.com/guardiaofamilia/guardiao-familia-site/issues/15,guardiao-familia-site,15,Onda 0 - Fundacao,E5,O3-KR1,S7,600,3,0.8,24,5,288.0,4.8,sim
PVTI_lADOEDZbAM4BTJdjzgombYI,Criar app mobile crianca - Home + SOS,https://github.com/guardiaofamilia/guardiao-familia-site/issues/19,guardiao-familia-site,19,Onda 0 - Fundacao,E4,O1-KR1,S4,600,3,0.8,39,8,180.0,4.88,sim
PVTI_lADOEDZbAM4BTJdjzgombYM,Criar app mobile crianca - Mapa + Familia,https://github.com/guardiaofamilia/guardiao-familia-site/issues/20,guardiao-familia-site,20,Onda 0 - Fundacao,E7,O3-KR3,S10,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgombYU,Criar app mobile crianca - Tempo de Tela + Conquistas,https://github.com/guardiaofamilia/guardiao-familia-site/issues/21,guardiao-familia-site,21,Onda 0 - Fundacao,E5,O3-KR1,S7,600,3,0.8,24,5,288.0,4.8,sim
PVTI_lADOEDZbAM4BTJdjzgombYY,Criar app mobile pais - Chat IA + Relatorios,https://github.com/guardiaofamilia/guardiao-familia-site/issues/25,guardiao-familia-site,25,Onda 0 - Fundacao,E7,O3-KR3,S10,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgombYc,Criar backoffice - Dashboard + Gestao de Usuarios,https://github.com/guardiaofamilia/guardiao-familia-site/issues/26,guardiao-familia-site,26,Onda 0 - Fundacao,E7,O3-KR3,S10,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgombYg,Criar backoffice - Moderacao + Financeiro,https://github.com/guardiaofamilia/guardiao-familia-site/issues/27,guardiao-familia-site,27,Onda 0 - Fundacao,E7,O3-KR3,S10,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgombYk,Criar backoffice - Analytics + Configuracoes,https://github.com/guardiaofamilia/guardiao-familia-site/issues/28,guardiao-familia-site,28,Onda 0 - Fundacao,E7,O3-KR3,S10,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgombYo,Implementar framework LGPD e compliance,https://github.com/guardiaofamilia/guardiao-familia-site/issues/29,guardiao-familia-site,29,Onda 0 - Fundacao,E9,O2-KR1,S8,600,3,0.8,34,8,180.0,4.25,sim
PVTI_lADOEDZbAM4BTJdjzgombYw,Integrar gateway de pagamento (Stripe + Asaas),https://github.com/guardiaofamilia/guardiao-familia-site/issues/30,guardiao-familia-site,30,Onda 0 - Fundacao,E8,post-release,post-release,600,3,0.8,12,8,180.0,1.5,nao
PVTI_lADOEDZbAM4BTJdjzgombY0,Integrar SMS/WhatsApp para escalonamento (Twilio/Infobip),https://github.com/guardiaofamilia/guardiao-familia-site/issues/32,guardiao-familia-site,32,Onda 0 - Fundacao,E1,O2-KR2,S1,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgombY4,chore(deps): Bump actions/checkout from 4 to 6,https://github.com/guardiaofamilia/guardiao-familia-site/pull/34,guardiao-familia-site,34,Onda 0 - Fundacao,E1,O2-KR2,S1,600,3,0.8,8,1,1440.0,8.0,sim
PVTI_lADOEDZbAM4BTJdjzgomcPU,Configurar projeto AWS - VPC simplificada (DEV),https://github.com/guardiaofamilia/guardiao-familia-site/issues/1,guardiao-familia-site,1,Onda 0 - Fundacao,E1,O2-KR2,S1,600,3,0.8,34,8,180.0,4.25,sim
PVTI_lADOEDZbAM4BTJdjzgomcPo,Configurar EC2 t3.micro para backend (DEV - Free Tier),https://github.com/guardiaofamilia/guardiao-familia-site/issues/2,guardiao-familia-site,2,Onda 0 - Fundacao,E1,O2-KR2,S1,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgomcQI,Configurar RDS PostgreSQL Multi-AZ,https://github.com/guardiaofamilia/guardiao-familia-site/issues/3,guardiao-familia-site,3,Onda 0 - Fundacao,E1,O2-KR2,S1,600,3,0.8,34,8,180.0,4.25,sim
PVTI_lADOEDZbAM4BTJdjzgomcQM,Configurar Redis (ElastiCache) para cache e sessoes,https://github.com/guardiaofamilia/guardiao-familia-site/issues/4,guardiao-familia-site,4,Onda 0 - Fundacao,E1,O2-KR2,S1,600,3,0.8,34,8,180.0,4.25,sim
PVTI_lADOEDZbAM4BTJdjzgomcQU,Criar modelagem de banco de dados (20 tabelas),https://github.com/guardiaofamilia/guardiao-familia-site/issues/5,guardiao-familia-site,5,Onda 0 - Fundacao,E7,O3-KR3,S10,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgomcQc,Implementar servico de autenticacao (Auth Service),https://github.com/guardiaofamilia/guardiao-familia-site/issues/6,guardiao-familia-site,6,Onda 0 - Fundacao,E1,O2-KR2,S1,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgomcQ0,Implementar CRUD de usuarios e perfis,https://github.com/guardiaofamilia/guardiao-familia-site/issues/7,guardiao-familia-site,7,Onda 0 - Fundacao,E1,O2-KR2,S1,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgomcRI,Implementar gestao de grupos familiares,https://github.com/guardiaofamilia/guardiao-familia-site/issues/8,guardiao-familia-site,8,Onda 0 - Fundacao,E7,O3-KR3,S10,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgomcRc,Configurar CI/CD com GitHub Actions (DEV - Deploy via SSH),https://github.com/guardiaofamilia/guardiao-familia-site/issues/9,guardiao-familia-site,9,Onda 0 - Fundacao,E1,O2-KR2,S1,600,3,0.8,34,8,180.0,4.25,sim
PVTI_lADOEDZbAM4BTJdjzgomcSQ,Implementar servico de localizacao (Location Service),https://github.com/guardiaofamilia/guardiao-familia-site/issues/10,guardiao-familia-site,10,Onda 0 - Fundacao,E3,O1-KR2,S6,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgomcTA,Implementar geofencing (cercas virtuais),https://github.com/guardiaofamilia/guardiao-familia-site/issues/11,guardiao-familia-site,11,Onda 0 - Fundacao,E3,O1-KR2,S6,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgomcTc,Implementar botao SOS e sistema de alertas,https://github.com/guardiaofamilia/guardiao-familia-site/issues/12,guardiao-familia-site,12,Onda 0 - Fundacao,E4,O1-KR1,S4,600,3,0.8,39,8,180.0,4.88,sim
PVTI_lADOEDZbAM4BTJdjzgomcT4,Integrar servico de push notification (FCM + APNs),https://github.com/guardiaofamilia/guardiao-familia-site/issues/13,guardiao-familia-site,13,Onda 0 - Fundacao,E4,O1-KR3,S3,600,3,0.8,39,5,288.0,7.8,sim
PVTI_lADOEDZbAM4BTJdjzgomcUM,Implementar controle de tempo de tela (Screen Time Service),https://github.com/guardiaofamilia/guardiao-familia-site/issues/14,guardiao-familia-site,14,Onda 0 - Fundacao,E5,O3-KR1,S7,600,3,0.8,24,5,288.0,4.8,sim
PVTI_lADOEDZbAM4BTJdjzgomcUU,Implementar assistente IA para pais (AI Service),https://github.com/guardiaofamilia/guardiao-familia-site/issues/16,guardiao-familia-site,16,Onda 0 - Fundacao,E7,O3-KR3,S10,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgomcUo,Implementar sistema de gamificacao e conquistas,https://github.com/guardiaofamilia/guardiao-familia-site/issues/17,guardiao-familia-site,17,Onda 0 - Fundacao,E6,O3-KR2,S9,600,3,0.8,34,3,480.0,11.33,sim
PVTI_lADOEDZbAM4BTJdjzgomcU0,Criar app mobile crianca - Splash + Login + Pareamento,https://github.com/guardiaofamilia/guardiao-familia-site/issues/18,guardiao-familia-site,18,Onda 0 - Fundacao,E7,O3-KR3,S10,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgomcVA,Criar app mobile pais - Onboarding + Dashboard,https://github.com/guardiaofamilia/guardiao-familia-site/issues/22,guardiao-familia-site,22,Onda 0 - Fundacao,E7,O3-KR3,S10,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgomcVg,Criar app mobile pais - Mapa + Geofences,https://github.com/guardiaofamilia/guardiao-familia-site/issues/23,guardiao-familia-site,23,Onda 0 - Fundacao,E3,O1-KR2,S6,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgomcVs,Criar app mobile pais - Controle de Tela + Alertas,https://github.com/guardiaofamilia/guardiao-familia-site/issues/24,guardiao-familia-site,24,Onda 0 - Fundacao,E4,O1-KR1,S4,600,3,0.8,39,8,180.0,4.88,sim
PVTI_lADOEDZbAM4BTJdjzgomcV8,Integrar servicos de mapa (Mapbox/Google Maps),https://github.com/guardiaofamilia/guardiao-familia-site/issues/31,guardiao-familia-site,31,Onda 0 - Fundacao,E1,O2-KR2,S1,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgomcWU,Configurar monitoramento e observabilidade,https://github.com/guardiaofamilia/guardiao-familia-site/issues/33,guardiao-familia-site,33,Onda 0 - Fundacao,E1,O2-KR2,S1,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgomcZk,"chore(repo): higiene local, CI/deploy, Dependabot e doc da org",https://github.com/guardiaofamilia/guardiao-familia-api/pull/4,guardiao-familia-api,4,Onda 0 - Fundacao,E1,O2-KR2,S1,600,3,0.8,8,1,1440.0,8.0,sim
PVTI_lADOEDZbAM4BTJdjzgomyWU,[#19] App crianca: validar fluxo SOS + voz + S3 (E2E dispositivo),https://github.com/guardiaofamilia/guardiao-familia-site/issues/35,guardiao-familia-site,35,Onda 0 - Fundacao,E4,O1-KR1,S4,600,3,0.8,39,8,180.0,4.88,sim
PVTI_lADOEDZbAM4BTJdjzgomyWg,[#19] App crianca: registar token push (FCM) na API,https://github.com/guardiaofamilia/guardiao-familia-site/issues/36,guardiao-familia-site,36,Onda 0 - Fundacao,E4,O1-KR3,S3,600,3,0.8,39,5,288.0,7.8,sim
PVTI_lADOEDZbAM4BTJdjzgomyWo,[#19] SOS: validar notificacao push aos responsaveis (API + Firebase + app pais),https://github.com/guardiaofamilia/guardiao-familia-site/issues/37,guardiao-familia-site,37,Onda 0 - Fundacao,E4,O1-KR3,S3,600,3,0.8,39,5,288.0,7.8,sim
PVTI_lADOEDZbAM4BTJdjzgomyW0,[#19] App crianca: UX do SOS (animacao de hold + feedback visual de confirmacao),https://github.com/guardiaofamilia/guardiao-familia-site/issues/38,guardiao-familia-site,38,Onda 0 - Fundacao,E4,O1-KR1,S4,600,3,0.8,39,8,180.0,4.88,sim
PVTI_lADOEDZbAM4BTJdjzgonJp0,[#20] App crianca: marcadores de familiares no mapa,https://github.com/guardiaofamilia/guardiao-familia-site/issues/41,guardiao-familia-site,41,Onda 0 - Fundacao,E7,O3-KR3,S10,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgoqsV4,[C1] Implementar tela Splash/Login com pareamento (codigo 6 digitos + QR),https://github.com/guardiaofamilia/guardiao-familia-child/issues/7,guardiao-familia-child,7,Onda 1 - Auth/Pairing,E2,O3-KR1,S2,300,2,0.8,20,5,96.0,4.0,nao
PVTI_lADOEDZbAM4BTJdjzgoqsX4,"[C2] Redesenhar Home com avatar, card familia, conquistas, screen time",https://github.com/guardiaofamilia/guardiao-familia-child/issues/8,guardiao-familia-child,8,Onda 8 - Familia/Comunidade,E5,O3-KR1,S7,180,1,0.5,24,5,18.0,4.8,nao
PVTI_lADOEDZbAM4BTJdjzgoqsZ4,[C3] Bug: SOS nao envia coordenadas GPS ao servidor,https://github.com/guardiaofamilia/guardiao-familia-child/issues/9,guardiao-familia-child,9,Onda 3 - GPS/Geofences,E4,O1-KR1,S4,420,3,0.8,39,8,126.0,4.88,sim
PVTI_lADOEDZbAM4BTJdjzgoqsb4,[C4] Implementar tela Minha Familia - mapa simplificado + pings + chat,https://github.com/guardiaofamilia/guardiao-familia-child/issues/10,guardiao-familia-child,10,Onda 8 - Familia/Comunidade,E7,O3-KR3,S10,180,1,0.5,12,5,18.0,2.4,nao
PVTI_lADOEDZbAM4BTJdjzgoqsec,[C5] Redesenhar Screen Time como Tanque de Energia gamificado,https://github.com/guardiaofamilia/guardiao-familia-child/issues/11,guardiao-familia-child,11,Onda 5 - Screen Time,E5,O3-KR1,S7,300,2,0.8,24,5,96.0,4.8,nao
PVTI_lADOEDZbAM4BTJdjzgoqsgc,"[C6] Expandir Conquistas com badges, animacoes e missoes dos pais",https://github.com/guardiaofamilia/guardiao-familia-child/issues/12,guardiao-familia-child,12,Onda 6 - Gamificacao,E6,O3-KR2,S9,260,1,0.8,18,3,69.33,6.0,nao
PVTI_lADOEDZbAM4BTJdjzgoqskQ,"[C7] Implementar tela Configuracoes - avatar editor, temas, educativo",https://github.com/guardiaofamilia/guardiao-familia-child/issues/13,guardiao-familia-child,13,Onda 8 - Familia/Comunidade,E2,O3-KR1,S10,180,1,0.5,12,5,18.0,2.4,nao
